date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Splits,Volume
,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
1993-01-29,24.313030242919922,0.0,43.9375,0.0,43.96875,43.75,43.96875,0.0,1003200
1993-02-01,24.485963821411133,0.0,44.25,0.0,44.25,43.96875,43.96875,0.0,480500
1993-02-02,24.5378360748291,0.0,44.34375,0.0,44.375,44.125,44.21875,0.0,201300
1993-02-03,24.797212600708008,0.0,44.8125,0.0,44.84375,44.375,44.40625,0.0,529400
1993-02-04,24.900970458984375,0.0,45.0,0.0,45.09375,44.46875,44.96875,0.0,531500
1993-02-05,24.883676528930664,0.0,44.96875,0.0,45.0625,44.71875,44.96875,0.0,492100
1993-02-08,24.883676528930664,0.0,44.96875,0.0,45.125,44.90625,44.96875,0.0,596100
1993-02-09,24.710758209228516,0.0,44.65625,0.0,44.8125,44.5625,44.8125,0.0,122100
1993-02-10,24.745336532592773,0.0,44.71875,0.0,44.75,44.53125,44.65625,0.0,379600
1993-02-11,24.866392135620117,0.0,44.9375,0.0,45.125,44.78125,44.78125,0.0,19500
1993-02-12,24.676191329956055,0.0,44.59375,0.0,44.875,44.59375,44.875,0.0,42500
1993-02-16,24.05364227294922,0.0,43.46875,0.0,44.46875,43.40625,44.46875,0.0,374800
1993-02-17,24.036354064941406,0.0,43.4375,0.0,43.53125,43.28125,43.46875,0.0,210900
1993-02-18,24.019062042236328,0.0,43.40625,0.0,43.9375,42.8125,43.9375,0.0,378100
1993-02-19,24.105527877807617,0.0,43.5625,0.0,43.5625,43.34375,43.40625,0.0,34900
1993-02-22,24.191984176635742,0.0,43.71875,0.0,43.78125,43.5625,43.6875,0.0,513600
1993-02-23,24.174707412719727,0.0,43.6875,0.0,43.875,43.46875,43.84375,0.0,373700
1993-02-24,24.485963821411133,0.0,44.25,0.0,44.25,43.71875,43.71875,0.0,26300
1993-02-25,24.5378360748291,0.0,44.34375,0.0,44.375,44.125,44.21875,0.0,44500
1993-02-26,24.572416305541992,0.0,44.40625,0.0,44.4375,44.1875,44.4375,0.0,66200
1993-03-01,24.50326156616211,0.0,44.28125,0.0,44.5625,44.21875,44.5625,0.0,66500
1993-03-02,24.866392135620117,0.0,44.9375,0.0,44.9375,44.25,44.3125,0.0,182400
1993-03-03,24.970138549804688,0.0,45.125,0.0,45.15625,44.9375,45.0,0.0,280100
1993-03-04,24.831790924072266,0.0,44.875,0.0,45.1875,44.875,45.1875,0.0,89500
1993-03-05,24.762638092041016,0.0,44.75,0.0,45.125,44.71875,44.9375,0.0,40000
1993-03-08,25.315982818603516,0.0,45.75,0.0,45.75,44.84375,44.84375,0.0,50800
1993-03-09,25.229530334472656,0.0,45.59375,0.0,45.6875,45.5,45.65625,0.0,169300
1993-03-10,25.28141212463379,0.0,45.6875,0.0,45.6875,45.40625,45.59375,0.0,194400
1993-03-11,25.212236404418945,0.0,45.5625,0.0,45.84375,45.5,45.71875,0.0,70900
1993-03-12,24.952848434448242,0.0,45.09375,0.0,45.21875,44.8125,45.1875,0.0,643600
1993-03-15,25.073904037475586,0.0,45.3125,0.0,45.3125,45.0625,45.0625,0.0,310800
1993-03-16,25.073904037475586,0.0,45.3125,0.0,45.4375,45.3125,45.3125,0.0,30800
1993-03-17,24.918283462524414,0.0,45.03125,0.0,45.25,44.96875,45.25,0.0,21800
1993-03-18,25.073904037475586,0.0,45.3125,0.0,45.5,45.21875,45.21875,0.0,59300
1993-03-19,25.035968780517578,0.0,45.03125,0.213,45.28125,45.03125,45.28125,0.0,66900
1993-03-22,24.89695167541504,0.0,44.78125,0.0,44.875,44.5625,44.59375,0.0,183400
1993-03-23,24.949068069458008,0.0,44.875,0.0,44.9375,44.8125,44.90625,0.0,55200
1993-03-24,24.949068069458008,0.0,44.875,0.0,45.0625,44.59375,44.8125,0.0,37200
1993-03-25,25.105459213256836,0.0,45.15625,0.0,45.25,44.84375,44.90625,0.0,110100
1993-03-26,24.96647834777832,0.0,44.90625,0.0,45.15625,44.875,45.125,0.0,101500
1993-03-29,25.070695877075195,0.0,45.09375,0.0,45.3125,44.9375,44.9375,0.0,87100
1993-03-30,25.14019203186035,0.0,45.21875,0.0,45.21875,45.09375,45.15625,0.0,56000
1993-03-31,25.122827529907227,0.0,45.1875,0.0,45.46875,45.1875,45.34375,0.0,111600
1993-04-01,25.035968780517578,0.0,45.03125,0.0,45.25,44.9375,45.25,0.0,129500
1993-04-02,24.514738082885742,0.0,44.09375,0.0,44.65625,44.09375,44.65625,0.0,59400
1993-04-05,24.63634490966797,0.0,44.3125,0.0,44.4375,44.1875,44.4375,0.0,172200
1993-04-06,24.56685447692871,0.0,44.1875,0.0,44.40625,44.0625,44.40625,0.0,129700
1993-04-07,24.653724670410156,0.0,44.34375,0.0,44.34375,44.15625,44.25,0.0,28000
1993-04-08,24.618988037109375,0.0,44.28125,0.0,44.53125,44.09375,44.53125,0.0,180800
1993-04-12,24.96647834777832,0.0,44.90625,0.0,44.9375,44.65625,44.71875,0.0,348500
1993-04-13,25.01857566833496,0.0,45.0,0.0,45.15625,44.84375,44.875,0.0,146100
1993-04-14,24.98383140563965,0.0,44.9375,0.0,45.0625,44.90625,45.03125,0.0,119600
1993-04-15,24.98383140563965,0.0,44.9375,0.0,45.03125,44.75,44.90625,0.0,148600
1993-04-16,24.98383140563965,0.0,44.9375,0.0,45.03125,44.875,44.96875,0.0,47900
1993-04-19,24.879589080810547,0.0,44.75,0.0,45.0625,44.71875,44.9375,0.0,157000
1993-04-20,24.757972717285156,0.0,44.53125,0.0,44.75,44.25,44.6875,0.0,279500
1993-04-21,24.740585327148438,0.0,44.5,0.0,44.625,44.375,44.625,0.0,67900
1993-04-22,24.427858352661133,0.0,43.9375,0.0,44.6875,43.9375,44.3125,0.0,97700
1993-04-23,24.323631286621094,0.0,43.75,0.0,43.96875,43.6875,43.84375,0.0,106000
1993-04-26,24.13250160217285,0.0,43.40625,0.0,43.9375,43.28125,43.78125,0.0,62600
1993-04-27,24.39311408996582,0.0,43.875,0.0,43.875,43.34375,43.34375,0.0,156800
1993-04-28,24.341007232666016,0.0,43.78125,0.0,43.90625,43.71875,43.8125,0.0,85900
1993-04-29,24.445236206054688,0.0,43.96875,0.0,43.96875,43.625,43.875,0.0,85000
1993-04-30,24.479995727539062,0.0,44.03125,0.0,44.28125,44.03125,44.125,0.0,88500
1993-05-03,24.63634490966797,0.0,44.3125,0.0,44.3125,43.90625,44.09375,0.0,80500
1993-05-04,24.723196029663086,0.0,44.46875,0.0,44.625,44.34375,44.40625,0.0,149100
1993-05-05,24.792734146118164,0.0,44.59375,0.0,44.75,44.46875,44.46875,0.0,109000
1993-05-06,24.705854415893555,0.0,44.4375,0.0,44.5625,44.40625,44.53125,0.0,54700
1993-05-07,24.653724670410156,0.0,44.34375,0.0,44.46875,44.28125,44.46875,0.0,68000
1993-05-10,24.705854415893555,0.0,44.4375,0.0,44.6875,44.40625,44.40625,0.0,113900
1993-05-11,24.810102462768555,0.0,44.625,0.0,44.625,44.3125,44.4375,0.0,42600
1993-05-12,24.775362014770508,0.0,44.5625,0.0,44.59375,44.4375,44.4375,0.0,31000
1993-05-13,24.479995727539062,0.0,44.03125,0.0,44.375,44.0,44.375,0.0,129100
1993-05-14,24.462608337402344,0.0,44.0,0.0,44.15625,43.96875,44.03125,0.0,63500
1993-05-17,24.549482345581055,0.0,44.15625,0.0,44.15625,43.9375,44.125,0.0,34000
1993-05-18,24.532100677490234,0.0,44.125,0.0,44.21875,43.96875,44.1875,0.0,105200
1993-05-19,25.035968780517578,0.0,45.03125,0.0,45.03125,43.84375,44.125,0.0,50200
1993-05-20,25.105459213256836,0.0,45.15625,0.0,45.15625,44.9375,45.03125,0.0,98200
1993-05-21,24.879589080810547,0.0,44.75,0.0,45.25,44.71875,45.1875,0.0,221400
1993-05-24,24.98383140563965,0.0,44.9375,0.0,45.09375,44.84375,44.84375,0.0,30500
1993-05-25,25.035968780517578,0.0,45.03125,0.0,45.125,45.03125,45.125,0.0,191800
1993-05-26,25.34868621826172,0.0,45.59375,0.0,45.625,45.125,45.15625,0.0,102400
1993-05-27,25.261821746826172,0.0,45.4375,0.0,45.65625,45.375,45.65625,0.0,53800
1993-05-28,25.14019203186035,0.0,45.21875,0.0,45.40625,45.0,45.40625,0.0,79100
1993-06-01,25.383434295654297,0.0,45.65625,0.0,45.8125,45.3125,45.375,0.0,28300
1993-06-02,25.34868621826172,0.0,45.59375,0.0,45.75,45.34375,45.53125,0.0,20300
1993-06-03,25.261821746826172,0.0,45.4375,0.0,45.5,45.34375,45.5,0.0,21600
1993-06-04,25.174945831298828,0.0,45.28125,0.0,45.3125,45.09375,45.3125,0.0,32000
1993-06-07,25.08806800842285,0.0,45.125,0.0,45.375,45.125,45.375,0.0,121400
1993-06-08,24.862205505371094,0.0,44.71875,0.0,45.0,44.71875,45.0,0.0,104500
1993-06-09,24.949068069458008,0.0,44.875,0.0,45.0625,44.8125,44.875,0.0,43300
1993-06-10,24.96647834777832,0.0,44.90625,0.0,44.9375,44.75,44.84375,0.0,17900
1993-06-11,25.070695877075195,0.0,45.09375,0.0,45.15625,44.90625,45.0625,0.0,647400
1993-06-14,25.035968780517578,0.0,45.03125,0.0,45.1875,45.03125,45.15625,0.0,64200
1993-06-15,24.98383140563965,0.0,44.9375,0.0,45.125,44.9375,45.09375,0.0,142400
1993-06-16,25.035968780517578,0.0,45.03125,0.0,45.03125,44.8125,44.9375,0.0,330900
1993-06-17,25.122827529907227,0.0,45.1875,0.0,45.1875,45.03125,45.125,0.0,37400
1993-06-18,24.915922164916992,0.0,44.5,0.318,44.84375,44.5,44.84375,0.0,58500
1993-06-21,24.968427658081055,0.0,44.59375,0.0,44.625,44.53125,44.625,0.0,29300
1993-06-22,24.985937118530273,0.0,44.625,0.0,44.65625,44.5625,44.65625,0.0,137500
1993-06-23,24.758459091186523,0.0,44.21875,0.0,44.625,44.21875,44.625,0.0,227600
1993-06-24,25.09090232849121,0.0,44.8125,0.0,44.8125,44.34375,44.34375,0.0,243700
1993-06-25,25.073415756225586,0.0,44.78125,0.0,44.90625,44.75,44.78125,0.0,44800
1993-06-28,25.353368759155273,0.0,45.28125,0.0,45.28125,44.9375,45.0,0.0,439900
1993-06-29,25.230897903442383,0.0,45.0625,0.0,45.21875,45.0,45.21875,0.0,207500
1993-06-30,25.230897903442383,0.0,45.0625,0.0,45.21875,45.0,45.125,0.0,437600
1993-07-01,25.160884857177734,0.0,44.9375,0.0,45.125,44.875,45.125,0.0,605700
1993-07-02,25.020923614501953,0.0,44.6875,0.0,44.8125,44.53125,44.78125,0.0,285400
1993-07-06,24.758459091186523,0.0,44.21875,0.0,44.75,44.15625,44.625,0.0,246400
1993-07-07,24.828447341918945,0.0,44.34375,0.0,44.40625,44.1875,44.1875,0.0,343700
1993-07-08,25.108421325683594,0.0,44.84375,0.0,44.9375,44.3125,44.375,0.0,248200
1993-07-09,25.17840003967285,0.0,44.96875,0.0,44.96875,44.75,44.84375,0.0,378200
1993-07-12,25.160884857177734,0.0,44.9375,0.0,44.96875,44.84375,44.90625,0.0,373700
1993-07-13,25.143417358398438,0.0,44.90625,0.0,45.09375,44.65625,44.96875,0.0,389600
1993-07-14,25.230897903442383,0.0,45.0625,0.0,45.1875,44.90625,44.9375,0.0,617300
1993-07-15,25.12590217590332,0.0,44.875,0.0,45.03125,44.78125,45.03125,0.0,443800
1993-07-16,25.05592155456543,0.0,44.75,0.0,44.9375,44.6875,44.90625,0.0,216400
1993-07-19,25.03840446472168,0.0,44.71875,0.0,44.75,44.59375,44.75,0.0,188200
1993-07-20,25.108421325683594,0.0,44.84375,0.0,44.84375,44.46875,44.6875,0.0,68500
1993-07-21,25.09090232849121,0.0,44.8125,0.0,44.8125,44.65625,44.78125,0.0,142700
1993-07-22,24.915922164916992,0.0,44.5,0.0,44.8125,44.5,44.75,0.0,632400
1993-07-23,25.03840446472168,0.0,44.71875,0.0,44.71875,44.5625,44.59375,0.0,286200
1993-07-26,25.17840003967285,0.0,44.96875,0.0,45.0625,44.84375,44.84375,0.0,121300
1993-07-27,25.160884857177734,0.0,44.9375,0.0,45.03125,44.78125,45.0,0.0,92800
1993-07-28,25.108421325683594,0.0,44.84375,0.0,44.9375,44.78125,44.84375,0.0,30800
1993-07-29,25.24839210510254,0.0,45.09375,0.0,45.21875,44.875,44.9375,0.0,331000
1993-07-30,25.108421325683594,0.0,44.84375,0.0,45.09375,44.78125,45.09375,0.0,75300
1993-08-02,25.17840003967285,0.0,44.96875,0.0,45.125,44.90625,44.90625,0.0,41300
1993-08-03,25.19587516784668,0.0,45.0,0.0,45.1875,44.84375,45.0625,0.0,81600
1993-08-04,25.19587516784668,0.0,45.0,0.0,45.09375,44.875,45.0,0.0,434000
1993-08-05,25.143417358398438,0.0,44.90625,0.0,45.0,44.84375,45.0,0.0,36800
1993-08-06,25.17840003967285,0.0,44.96875,0.0,45.0625,44.90625,45.03125,0.0,402300
1993-08-09,25.318376541137695,0.0,45.21875,0.0,45.34375,45.0,45.09375,0.0,828200
1993-08-10,25.300870895385742,0.0,45.1875,0.0,45.21875,45.125,45.1875,0.0,604900
1993-08-11,25.300870895385742,0.0,45.1875,0.0,45.3125,45.15625,45.15625,0.0,542200
1993-08-12,25.230897903442383,0.0,45.0625,0.0,45.3125,44.90625,45.3125,0.0,303700
1993-08-13,25.265880584716797,0.0,45.125,0.0,45.15625,45.09375,45.09375,0.0,103500
1993-08-16,25.405851364135742,0.0,45.375,0.0,45.5,45.15625,45.15625,0.0,241800
1993-08-17,25.493362426757812,0.0,45.53125,0.0,45.53125,45.34375,45.34375,0.0,369300
1993-08-18,25.633323669433594,0.0,45.78125,0.0,45.875,45.65625,45.6875,0.0,414300
1993-08-19,25.633323669433594,0.0,45.78125,0.0,45.8125,45.71875,45.8125,0.0,28500
1993-08-20,25.65083885192871,0.0,45.8125,0.0,45.8125,45.65625,45.6875,0.0,80700
1993-08-23,25.598316192626953,0.0,45.71875,0.0,45.75,45.625,45.625,0.0,15600
1993-08-24,25.87827491760254,0.0,46.21875,0.0,46.21875,45.71875,45.71875,0.0,273400
1993-08-25,25.895788192749023,0.0,46.25,0.0,46.4375,46.15625,46.21875,0.0,242300
1993-08-26,25.913251876831055,0.0,46.28125,0.0,46.53125,46.09375,46.28125,0.0,120000
1993-08-27,25.895788192749023,0.0,46.25,0.0,46.25,46.15625,46.15625,0.0,25700
1993-08-30,26.000770568847656,0.0,46.4375,0.0,46.5,46.28125,46.28125,0.0,183500
1993-08-31,26.070743560791016,0.0,46.5625,0.0,46.5625,46.34375,46.40625,0.0,66500
1993-09-01,26.0357608795166,0.0,46.5,0.0,46.59375,46.40625,46.40625,0.0,136500
1993-09-02,25.948280334472656,0.0,46.34375,0.0,46.59375,46.3125,46.53125,0.0,472400
