state,length
carry_contango,7
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,3
stress_backwardation,7
carry_contango,3
convex_stress,1
flat,1
carry_contango,1
flat,4
carry_contango,1
flat,2
carry_contango,3
flat,8
stress_backwardation,2
carry_contango,2
flat,1
carry_contango,1
flat,9
stress_backwardation,17
carry_contango,2
stress_backwardation,1
carry_contango,2
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,15
stress_backwardation,33
carry_contango,2
stress_backwardation,5
carry_contango,6
flat,1
carry_contango,6
flat,6
carry_contango,2
flat,1
carry_contango,5
flat,6
carry_contango,6
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,1
carry_contango,6
flat,1
carry_contango,1
flat,3
carry_contango,2
flat,8
stress_backwardation,51
carry_contango,1
stress_backwardation,50
carry_contango,1
stress_backwardation,7
flat,1
stress_backwardation,2
flat,1
stress_backwardation,4
flat,4
stress_backwardation,1
flat,1
stress_backwardation,2
flat,1
stress_backwardation,1
carry_contango,1
stress_backwardation,14
carry_contango,2
stress_backwardation,6
carry_contango,3
stress_backwardation,45
carry_contango,1
stress_backwardation,1
carry_contango,1
stress_backwardation,12
carry_contango,1
stress_backwardation,35
carry_contango,1
stress_backwardation,1
carry_contango,1
stress_backwardation,2
flat,1
stress_backwardation,2
carry_contango,1
flat,1
stress_backwardation,1
carry_contango,2
flat,1
carry_contango,5
flat,13
carry_contango,1
flat,1
stress_backwardation,6
carry_contango,4
flat,3
carry_contango,4
flat,3
carry_contango,1
flat,1
convex_stress,1
carry_contango,3
flat,4
carry_contango,2
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,4
carry_contango,1
flat,1
carry_contango,2
flat,13
carry_contango,5
flat,9
carry_contango,1
flat,1
carry_contango,1
flat,1
carry_contango,2
flat,2
carry_contango,1
flat,2
carry_contango,1
flat,1
carry_contango,8
stress_backwardation,1
flat,1
stress_backwardation,8
carry_contango,2
flat,2
carry_contango,5
flat,1
carry_contango,5
flat,1
carry_contango,1
flat,22
carry_contango,5
flat,8
carry_contango,1
flat,1
carry_contango,5
stress_backwardation,19
carry_contango,5
flat,1
carry_contango,1
stress_backwardation,2
flat,4
stress_backwardation,1
flat,2
stress_backwardation,7
carry_contango,1
stress_backwardation,2
carry_contango,5
flat,1
carry_contango,6
flat,6
carry_contango,4
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,10
carry_contango,5
flat,1
carry_contango,1
flat,2
carry_contango,1
flat,2
carry_contango,1
flat,3
carry_contango,1
flat,1
carry_contango,3
flat,2
carry_contango,3
flat,1
carry_contango,1
flat,5
carry_contango,2
flat,1
carry_contango,4
flat,4
carry_contango,2
flat,1
carry_contango,2
flat,5
carry_contango,1
flat,5
carry_contango,1
flat,1
carry_contango,3
flat,6
carry_contango,2
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,2
carry_contango,2
flat,8
carry_contango,4
flat,7
carry_contango,5
flat,1
carry_contango,4
flat,5
carry_contango,1
flat,5
carry_contango,3
flat,1
carry_contango,1
flat,5
carry_contango,3
flat,3
carry_contango,6
flat,3
carry_contango,6
flat,2
carry_contango,3
flat,2
carry_contango,2
flat,1
carry_contango,1
flat,10
carry_contango,1
flat,9
stress_backwardation,2
flat,1
carry_contango,1
flat,3
carry_contango,2
convex_stress,17
flat,15
carry_contango,2
flat,2
carry_contango,1
flat,1
carry_contango,5
flat,5
carry_contango,4
flat,21
stress_backwardation,1
flat,1
stress_backwardation,13
carry_contango,1
flat,1
stress_backwardation,12
carry_contango,5
stress_backwardation,4
carry_contango,2
stress_backwardation,1
carry_contango,1
stress_backwardation,2
carry_contango,1
stress_backwardation,5
carry_contango,4
flat,4
carry_contango,2
flat,5
carry_contango,2
flat,2
stress_backwardation,1
flat,1
carry_contango,2
flat,1
carry_contango,2
stress_backwardation,1
carry_contango,1
flat,5
carry_contango,4
flat,2
carry_contango,1
flat,16
stress_backwardation,4
carry_contango,1
stress_backwardation,1
carry_contango,5
flat,1
carry_contango,8
flat,1
carry_contango,1
convex_stress,1
carry_contango,1
flat,1
carry_contango,6
convex_stress,7
flat,1
convex_stress,3
flat,3
convex_stress,1
flat,1
convex_stress,1
flat,6
carry_contango,1
convex_stress,1
flat,1
carry_contango,4
flat,2
carry_contango,1
flat,21
carry_contango,1
flat,10
carry_contango,1
flat,1
carry_contango,2
flat,5
carry_contango,2
flat,1
carry_contango,1
flat,8
carry_contango,3
flat,2
carry_contango,1
flat,2
carry_contango,3
flat,1
carry_contango,1
flat,1
carry_contango,3
flat,1
carry_contango,1
flat,3
carry_contango,1
flat,1
carry_contango,5
flat,1
carry_contango,1
flat,9
carry_contango,3
flat,6
carry_contango,1
flat,1
stress_backwardation,2
flat,1
stress_backwardation,2
carry_contango,1
flat,14
carry_contango,4
flat,6
carry_contango,3
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,1
carry_contango,1
flat,3
carry_contango,1
flat,1
carry_contango,1
flat,1
stress_backwardation,2
carry_contango,4
flat,1
carry_contango,1
flat,6
stress_backwardation,1
carry_contango,2
stress_backwardation,1
flat,5
stress_backwardation,18
carry_contango,1
stress_backwardation,1
carry_contango,3
stress_backwardation,2
carry_contango,2
stress_backwardation,1
carry_contango,6
stress_backwardation,2
flat,3
stress_backwardation,3
flat,1
stress_backwardation,1
flat,1
stress_backwardation,2
carry_contango,2
flat,1
carry_contango,1
flat,5
carry_contango,4
flat,1
carry_contango,8
flat,3
stress_backwardation,1
flat,1
stress_backwardation,1
flat,2
stress_backwardation,1
carry_contango,5
flat,14
carry_contango,1
flat,2
stress_backwardation,2
flat,1
stress_backwardation,8
carry_contango,1
stress_backwardation,13
carry_contango,1
stress_backwardation,9
carry_contango,3
flat,10
carry_contango,1
flat,1
carry_contango,3
flat,7
carry_contango,1
flat,1
carry_contango,2
flat,1
carry_contango,4
flat,1
carry_contango,2
flat,6
carry_contango,2
flat,1
carry_contango,3
flat,8
carry_contango,4
flat,2
carry_contango,3
flat,1
carry_contango,5
flat,2
carry_contango,1
flat,3
carry_contango,1
flat,3
carry_contango,3
flat,1
carry_contango,3
flat,6
carry_contango,3
flat,1
carry_contango,1
flat,9
stress_backwardation,2
flat,3
stress_backwardation,1
flat,1
